key,en,kk
status:statistics_in_progress,Statistics in progress,Статистика орындалу барысында
status:exploring_data_sources,Exploring data sources,Дереккөздерін зерттеу
status:not_applicable,Not applicable,Жарамсыз
status:status_by_goal,Status by goal,Мақсат бойынша мәртебе
status:status_by_field,Status by %field,%field мәртебесі
search:search,Search,Іздеу
search:indicator_search,Indicator search,Көрсеткішті іздеу
search:search_results_for,Search results for,Сіздің сұрауыңыз бойынша нәтижелер
search:found_in,found in,Табылды
search:keywords,Keywords,Кілтті сөздер
search:no_results,No results,Нәтижелер табылмаған
search:did_you_mean,did you mean,айтқыңыз келді ме
general:indicator,Metric,Көрсеткіш
general:indicators,Metrics,Көрсеткіштер
general:goal,Goal,Мақсат
general:goals,Goals,Мақсат
general:sdg,Sustainable Development Goals,Тұрақты даму мақсаттары шеңберінде
general:home,Home,Басты бет
general:loading,Loading search results,Ізденіс нәтижелерін жүктеу
general:opens_new_window,opens in a new window,Жаңа қосымша бетте ашылады
general:target,Target,Міндет
general:targets,Targets,Міндеттер
general:twitter,Twitter,Twitter
general:facebook,Facebook,Facebook
general:built_using_open_sdg,Built using Open SDG,Open SDG көмегімен салынған
general:page,Page,веб парақ
general:pages,Pages,веб-парақтар
global_goals:1-short,Climate and weather,Climate and weather
global_goals:1-title,Climate and weather,Climate and weather
global_goals:2-short,Emissions,Emissions
global_goals:2-title,Emissions,Emissions
global_goals:3-short,Drivers,Drivers
global_goals:3-title,Drivers,Drivers
global_goals:4-short,Impacts,Impacts
global_goals:4-title,Impacts,Impacts
global_goals:5-short,Mitigation,Mitigation
global_goals:5-title,Mitigation,Mitigation
global_goals:6-short,Adaption,Adaption
global_goals:6-title,Adaption,Adaption
menu:menu,Menu,Меню
menu:reporting_status,Reporting Status,Есептіліктің жағдайы
menu:about,About,Біз туралы
menu:publications,Publications,Жарияланымдар
menu:guidance,Guidance,Басшылық
menu:faq,FAQ,Жиі қойылатын сұрақтар
menu:contact_us,Contact us,Бізбен хабарласыңыз
menu:cookies,Cookies,Cookies
menu:updates,Updates,
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for %name statistics for Environmental Statistics measures.","Әрбір мақсатқа басыңыз, немесе тұрақты даму мақсаттары шеңберінің жаһандық көрсеткіштерінен іздеңіз"
frontpage:heading,%name data for Environmental Statistics measures,Тұрақты даму мақсаттары шеңбері үшін деректер
frontpage:download_all,Download all data,Барлық деректерді жүктеп алыңыз
frontpage:zip_file,ZIP file,ZIP файл
frontpage:intro_title,Environmental Statistics Metrics (TEST SITE),17 мақсат - біздің әлемді өзгерту
frontpage:intro_body,The open-climate platform is under construction.,"<a href=""https://www.un.org/sustainabledevelopment/ru/"">Тұрақты даму мақсаттары (SDGs)</a> кедейлікті жоюға, планетаны қорғауға және өмірді қорғауға бағытталған әмбебап үндеу. барлық жерде, әркімнің өмірі мен болашағын жақсарту. 17 мақсатты БҰҰ-ға мүше барлық мемлекеттер 2015 жылы <a href=""https://www.un.org/ga/search/view_doc.asp?symbol=A/RES/70/1&Lang=R"">2030 тұрақты дамуының күн тәртібі</a>."
global_targets:1-1-title,UK Climate Series,UK Climate Series
global_targets:1-2-title,UK Climate Projections,UK Climate Projections
global_targets:1-3-title,Severe weather events and hazards,Severe weather events and hazards
global_targets:2-1-title,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions,Green house Gas emissions and Short-lived climate pollutant (SLCP) emissions
global_targets:3-1-title,GHG activities,GHG activities
global_targets:3-2-title,Inefficient use of materials,Inefficient use of materials
global_targets:3-3-title,Depletion of natural capital,Depletion of natural capital
global_targets:3-4-title,Population,Population
global_targets:3-5-title,Energy statistics,Energy statistics
global_targets:4-1-title,Disruption or unwanted impacts,Disruption or unwanted impacts
global_targets:4-2-title,Air Quality,Air Quality
global_targets:4-3-title,Ecosystem condition and biodiversity,Ecosystem condition and biodiversity
global_targets:4-4-title,Spread of climate-sensitive pests and diseases,Spread of climate-sensitive pests and diseases
global_targets:5-1-title,Energy and material efficiency,Energy and material efficiency
global_targets:5-2-title,Green economy,Green economy
global_targets:5-3-title,Population growth,Population growth
global_targets:5-4-title,"Governance, regulation and education","Governance, regulation and education"
global_targets:5-5-title,Expenditure and investment,Expenditure and investment
global_targets:6-1-title,Natural environmental resilience,Natural environmental resilience
global_targets:6-2-title,Commercial natural environment,Commercial natural environment
global_targets:6-3-title,People and the built environment,People and the built environment
global_targets:6-4-title,Critical infrastructure,Critical infrastructure
global_targets:6-5-title,Business,Business
global_targets:6-6-title,Effective emergency planning systems,Effective emergency planning systems
indicator:select_all,Select all,Барлығын белгілеу
indicator:clear_all,Clear all,Барлығын тазарту
indicator:clear_selections,Clear selections,Белгіленгенді тазарту
indicator:variable_hint,Available when '%field' is selected,Таңдаған кезде қолжетімді
indicator:no_data_hint,No options available because of filters above,Жоғарыда фильтрлар бар болғандықтан нұсқалар жоқ
indicator:download_headline,Download Headline CSV,CSV тақырыптарын жүктеу
indicator:download_headline_title,Download headline data as CSV,CSV тақырыптарының деректерін жүктеу
indicator:download_source,Download Source CSV,Бастапқы CSV жүктеу
indicator:download_source_title,Download source data as CSV,Бастапқы деректерді CSV нысанында жүктеу
indicator:download_chart,Download Chart CSV,CSV графигін жүктеу
indicator:download_table,Download Table CSV,Кестелік CSV жүктеу
indicator:download_csv,Download CSV,CSV жүктеу
indicator:download_csv_title,Download as CSV,CSV нысанында жүктеу
indicator:download_chart_image,Download Chart Image,Диаграмма суретін жүктеу
indicator:download_chart_image_title,Download chart as image,Диаграмманы сурет ретінде жүктеңіз
indicator:download_geojson,Download GeoJSON,GeoJSON жүктеу
indicator:download_geojson_title,Download as GeoJSON,GeoJSON нысанында жүктеу
indicator:source,Source,Көз
indicator:sources,Sources,Көздер
indicator:geographical_area,Geographical Area,Географиялық аудан
indicator:unit_of_measurement,Unit of Measurement,Өлшем бірлігі
indicator:footnote,Footnote,Ескерту
indicator:units_type,Units type,Бірліктер түрі
indicator:series,Series,Қатар
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,"Графикте көрсету үшін, кестеде тым көп деректер. Барлығын көру ушін белгіленгенді жойыңыздар"
indicator:view_indicator_list,View this goal's indicator list,Осы мақсаттың көрсеткіштерінің тізімін көру
indicator:sub_categories,Sub-categories,Субкатегориялар
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,"Деректерді түрлі бөліністерді көру үшін , төмендегі түсетін менюдан категорияларды таңдаңыз. Бірнешесі қолжетімді болмайды, одан жоғары деңгейді таңдамағанша"
indicator:legend_help,Click on the legend to remove individual lines from the chart.,Графиктен жолдарды алып тастау үшін легендаға басыңыз
indicator:chart,Chart,График
indicator:table,Table,Кесте
indicator:map,Map,Карта
indicator:loading_map,Loading map,Картаны жүктеу
indicator:national_metadata,National Metadata,Ұлттық метадеректер
