key,en,blank
global_targets:4-4-title,Spread of climate-sensitive pests and diseases,
global_targets:5-1-title,Energy and material efficiency,
global_targets:5-2-title,Green economy,
global_targets:5-3-title,Population growth,
global_targets:5-4-title,"Governance, regulation and education",
global_targets:5-5-title,Expenditure and investment,
global_targets:6-1-title,Natural environmental resilience,
global_targets:6-2-title,Commercial natural environment,
global_targets:6-3-title,People and the built environment,
global_targets:6-4-title,Critical infrastructure,
global_targets:6-5-title,Business,
global_targets:6-6-title,Effective emergency planning systems,
indicator:select_all,Select all,
indicator:clear_all,Clear all,
indicator:clear_selections,Clear selections,
indicator:variable_hint,Available when '%field' is selected,
indicator:no_data_hint,No options available because of filters above,
indicator:download_headline,Download Headline CSV,
indicator:download_headline_title,Download headline data as CSV,
indicator:download_source,Download Source CSV,
indicator:download_source_title,Download source data as CSV,
indicator:download_chart,Download Chart CSV,
indicator:download_table,Download Table CSV,
indicator:download_csv,Download CSV,
indicator:download_csv_title,Download as CSV,
indicator:download_chart_image,Download Chart Image,
indicator:download_chart_image_title,Download chart as image,
indicator:download_geojson,Download GeoJSON,
indicator:download_geojson_title,Download as GeoJSON,
indicator:source,Source,
indicator:sources,Sources,
indicator:geographical_area,Geographical Area,
indicator:unit_of_measurement,Unit of Measurement,
indicator:footnote,Footnote,
indicator:units_type,Units type,
indicator:series,Series,
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,
indicator:view_indicator_list,View this goal's indicator list,
indicator:sub_categories,Sub-categories,
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,
indicator:legend_help,Click on the legend to remove individual lines from the chart.,
indicator:chart,Chart,
indicator:table,Table,
indicator:map,Map,
indicator:loading_map,Loading map,
indicator:national_metadata,National Metadata,
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.",
indicator:global_metadata,Global Metadata,
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.",
indicator:edit,Edit,
indicator:edit_data,Edit Data,
indicator:edit_metadata,Edit Metadata,
global_indicators:1-1-1-title,Historic trends,
global_indicators:1-2-1-title,Change over time,
global_indicators:1-2-2-title,Global indicators (TBC),
